batch,charge_t,compound,form,mass_t,n,pos_t,scalar,solver,time,time_t,tpb,vel_t,steptime,fps,pups,ops
8192,float32,True,nx,float32,1,float32,False,CudaSolver,0.32533805900129664,float32,128,float32,3.971411853043172e-05,25179.962114322905,25179.962114322905,25179.962114322905
8192,float32,True,nx,float32,4,float32,False,CudaSolver,0.32965858500028844,float32,128,float32,4.024152648929302e-05,24849.951958608424,99399.8078344337,397599.2313377348
8192,float32,True,nx,float32,16,float32,False,CudaSolver,0.43286720700052683,float32,128,float32,5.28402352295565e-05,18924.97252625106,302799.56042001693,4844792.966720271
8192,float32,True,nx,float32,64,float32,False,CudaSolver,1.1858504580013687,float32,128,float32,0.0001447571359864952,6908.122305578723,442119.8275570383,28295668.96365045
4608,float32,True,nx,float32,256,float32,False,CudaSolver,1.9612742829995113,float32,128,float32,0.00042562375933149116,2349.4928985417937,601470.1820266992,153976366.598835
648,float32,True,nx,float32,1024,float32,False,CudaSolver,1.0381019310007105,float32,128,float32,0.0016020091527788741,624.2161589809782,639197.3467965217,654538083.1196382
41,float32,True,nx,float32,4096,float32,False,CudaSolver,0.3516012010004488,float32,128,float32,0.008575639048791434,116.60938552922539,477632.0431277072,1956380848.6510887
3,float32,True,nx,float32,16384,float32,False,CudaSolver,0.4114326750004693,float32,128,float32,0.13714422500015644,7.291593940604202,119465.47512285925,1957322344.412926
8192,float32,True,nx,float32,1,float32,False,CudaSolver,0.32151271300062945,float32,192,float32,3.924715734870965e-05,25479.552343499283,25479.552343499283,25479.552343499283
8192,float32,True,nx,float32,4,float32,False,CudaSolver,0.3270312909990025,float32,192,float32,3.9920811889526675e-05,25049.590743978642,100198.36297591457,400793.4519036583
8192,float32,True,nx,float32,16,float32,False,CudaSolver,0.4322120279994124,float32,192,float32,5.276025732414702e-05,18953.66040116574,303258.56641865184,4852137.062698429
8192,float32,True,nx,float32,64,float32,False,CudaSolver,1.18655642199883,float32,192,float32,0.00014484331323227906,6904.012188649279,441856.78007355385,28278833.924707446
4608,float32,True,nx,float32,256,float32,False,CudaSolver,1.9833124300002964,float32,192,float32,0.00043040634331603655,2323.3858318526804,594786.7729542862,152265413.87629727
648,float32,True,nx,float32,1024,float32,False,CudaSolver,1.0467165290010598,float32,192,float32,0.0016153032854954628,619.0787878533099,633936.6787617893,649151159.0520723
41,float32,True,nx,float32,4096,float32,False,CudaSolver,0.5662530720001087,float32,192,float32,0.013811050536588015,72.40578820204993,296574.1084755965,1214767548.3160434
3,float32,True,nx,float32,16384,float32,False,CudaSolver,0.4579645399990113,float32,192,float32,0.1526548466663371,6.5507255212520965,107327.08694019435,1758446992.4281442
8192,float32,True,nx,float32,1,float32,False,CudaSolver,0.32596457299951,float32,256,float32,3.9790597289979246e-05,25131.56544779581,25131.56544779581,25131.56544779581
8192,float32,True,nx,float32,4,float32,False,CudaSolver,0.32460482099850196,float32,256,float32,3.96246119382937e-05,25236.840213281386,100947.36085312554,403789.4434125022
8192,float32,True,nx,float32,16,float32,False,CudaSolver,0.43244363000121666,float32,256,float32,5.278852905288289e-05,18943.509469608678,303096.15151373885,4849538.424219822
8192,float32,True,nx,float32,64,float32,False,CudaSolver,1.1866682669988222,float32,256,float32,0.00014485696618637967,6903.361476681444,441815.13450761244,28276168.608487196
4608,float32,True,nx,float32,256,float32,False,CudaSolver,1.9844356909998169,float32,256,float32,0.0004306501065537797,2322.070713049086,594450.102540566,152179226.2503849
648,float32,True,nx,float32,1024,float32,False,CudaSolver,1.0389292519994342,float32,256,float32,0.0016032858827151762,623.7190826544876,638688.3406381953,654016860.813512
41,float32,True,nx,float32,4096,float32,False,CudaSolver,0.3546059430009336,float32,256,float32,0.008648925439047161,115.62129966866362,473584.8434428462,1939803518.741898
3,float32,True,nx,float32,16384,float32,False,CudaSolver,0.41203697099990677,float32,256,float32,0.13734565699996892,7.280900043313538,119290.266309649,1954451723.2172892
8192,float32,True,nx,float32,1,float32,False,CudaSolver,0.3230541279990575,float32,384,float32,3.943531835925995e-05,25357.97963870593,25357.97963870593,25357.97963870593
8192,float32,True,nx,float32,4,float32,False,CudaSolver,0.3260857009991014,float32,384,float32,3.980538342274187e-05,25122.230060687558,100488.92024275023,401955.6809710009
8192,float32,True,nx,float32,16,float32,False,CudaSolver,0.4324339080012578,float32,384,float32,5.278734228530979e-05,18943.935358501472,303102.96573602356,4849647.451776377
8192,float32,True,nx,float32,64,float32,False,CudaSolver,1.186857377000706,float32,384,float32,0.0001448800509034065,6902.261517472227,441744.7371182225,28271663.17556624
4608,float32,True,nx,float32,256,float32,False,CudaSolver,1.984919919001186,float32,384,float32,0.0004307551907554657,2321.5042359586732,594305.0844054203,152142101.6077876
648,float32,True,nx,float32,1024,float32,False,CudaSolver,1.0478594380001596,float32,384,float32,0.0016170670339508636,618.4035534734586,633245.2387568216,648443124.4869853
41,float32,True,nx,float32,4096,float32,False,CudaSolver,0.5637903300012113,float32,384,float32,0.013750983658566128,72.72207027728183,297869.5998557464,1220073881.0091372
3,float32,True,nx,float32,16384,float32,False,CudaSolver,0.4642670030007139,float32,384,float32,0.15475566766690463,6.461798879976373,105870.11284953289,1734575928.9267468
8192,float32,True,nx,float32,1,float32,False,CudaSolver,0.3283195980002347,float32,512,float32,4.0078075927763024e-05,24951.297607260545,24951.297607260545,24951.297607260545
8192,float32,True,nx,float32,4,float32,False,CudaSolver,0.32667339200088463,float32,512,float32,3.987712304698299e-05,25077.03474049033,100308.13896196132,401232.5558478453
8192,float32,True,nx,float32,16,float32,False,CudaSolver,0.4335021750011947,float32,512,float32,5.2917745971825525e-05,18897.252360907816,302356.03777452506,4837696.604392401
8192,float32,True,nx,float32,64,float32,False,CudaSolver,1.1875194670010387,float32,512,float32,0.00014496087243665023,6898.4132282800165,441498.44660992105,28255900.583034948
4608,float32,True,nx,float32,256,float32,False,CudaSolver,1.9852342920003139,float32,512,float32,0.00043082341406256813,2321.1366127254423,594210.9728577132,152118009.0515746
648,float32,True,nx,float32,1024,float32,False,CudaSolver,1.0409202749997348,float32,512,float32,0.0016063584490736648,622.5260623347596,637466.6878307938,652765888.3387328
41,float32,True,nx,float32,4096,float32,False,CudaSolver,0.3584659339994687,float32,512,float32,0.008743071560962651,114.37627989515113,468485.242450539,1918915553.0774078
3,float32,True,nx,float32,16384,float32,False,CudaSolver,0.41230147600072087,float32,512,float32,0.13743382533357362,7.276229105701176,119213.73766780806,1953197877.9493673
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5706433989998914,float32,8,float32,6.965861804197893e-05,14355.725509761938,14355.725509761938,14355.725509761938
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5713382459998684,float32,8,float32,6.974343823240581e-05,14338.266442610753,57353.06577044301,229412.26308177205
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5686611789988092,float32,8,float32,6.941664782700308e-05,14405.766214642823,230492.25943428517,3687876.1509485627
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.565660708998621,float32,8,float32,6.905037951643322e-05,14482.17963468269,926859.4966196922,59319007.7836603
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.44991275099891936,float32,8,float32,9.763731575497382e-05,10241.9857845084,2621948.3608341506,671218780.3735425
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.7791389809990505,float32,8,float32,0.0012023749706775472,831.6873058630725,851647.8012037863,872087348.4326771
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.751778080000804,float32,8,float32,0.01833605073172693,54.53737092195632,223385.07129633307,914985252.0297803
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.8828086030007398,float32,8,float32,0.29426953433357994,3.398245089369033,55676.84754422223,912209470.1645371
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5654348850002862,float32,16,float32,6.90228131103865e-05,14487.963543310303,14487.963543310303,14487.963543310303
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5713684689999354,float32,16,float32,6.974712756346868e-05,14337.508008340807,57350.032033363226,229400.1281334529
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5678924860003463,float32,16,float32,6.932281323246414e-05,14425.265700724565,230804.25121159304,3692868.0193854887
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5631494120007119,float32,16,float32,6.874382470711815e-05,14546.761171064925,930992.7149481552,59583533.756681934
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.433984799999962,float32,16,float32,9.418072916665842e-05,10617.883391308644,2718178.148175013,695853605.9328033
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.42207020000023476,float32,16,float32,0.0006513429012349302,1535.2896271749096,1572136.5782271074,1609867856.104558
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.39461254100024235,float32,16,float32,0.00962469612195713,103.89938418093718,425571.8776051187,1743142410.670566
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.4602052129994263,float32,16,float32,0.15340173766647544,6.518830980742802,106804.52678849007,1749885366.9026213
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5662968449996697,float32,32,float32,6.912803283687374e-05,14465.911424960841,14465.911424960841,14465.911424960841
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5616460519995599,float32,32,float32,6.856030908197752e-05,14585.698538848485,58342.79415539394,233371.17662157575
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5702989569999772,float32,32,float32,6.961657189941128e-05,14364.395900517713,229830.3344082834,3677285.3505325345
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5629341330004536,float32,32,float32,6.871754553228193e-05,14552.324188153998,931348.7480418559,59606319.874678776
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.4443932619997213,float32,32,float32,9.64395099825784e-05,10369.19412158614,2654513.695126052,679555505.9522693
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.2382539709997218,float32,32,float32,0.0003676758811724102,2719.7867774500037,2785061.660108804,2851903139.951415
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.22798988499926054,float32,32,float32,0.005560728902420989,179.83253950118436,736594.0817968511,3017089359.039902
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.2661765229986486,float32,32,float32,0.08872550766621619,11.270716012828943,184659.4111541894,3025459792.3502393
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5663208420010051,float32,48,float32,6.913096215832581e-05,14465.298453531861,14465.298453531861,14465.298453531861
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5670460099991033,float32,48,float32,6.921948364246866e-05,14446.7994757832,57787.1979031328,231148.7916125312
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5620089579988417,float32,48,float32,6.860460913071798e-05,14576.280116903197,233220.48187045116,3731527.7099272185
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5631604390000575,float32,48,float32,6.874517077637421e-05,14546.476337268363,930974.4855851752,59582367.077451214
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.45394489700083795,float32,48,float32,9.851234743941796e-05,10151.011786770881,2598659.0174133456,665256708.4578165
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.27064441999937117,float32,48,float32,0.0004176611419743382,2394.285461350009,2451748.312422409,2510590271.920547
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.23912075699990964,float32,48,float32,0.00583221358536365,171.4614846255923,702306.2410264261,2876646363.244241
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.2661727350005094,float32,48,float32,0.0887242450001698,11.270876410366593,184662.03910744627,3025502848.7363997
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5673785390008561,float32,64,float32,6.926007556162794e-05,14438.332500954251,14438.332500954251,14438.332500954251
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5753843109996524,float32,64,float32,7.023734265132475e-05,14237.44068684721,56949.76274738884,227799.05098955537
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5711468589997821,float32,64,float32,6.972007556149684e-05,14343.071087436594,229489.1373989855,3671826.198383768
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5683317610000813,float32,64,float32,6.937643566895524e-05,14414.116123977854,922503.4319345827,59040219.64381329
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.4446405180005968,float32,64,float32,9.649316796887951e-05,10363.428013084978,2653037.5713497545,679177618.2655371
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.23868623499947716,float32,64,float32,0.00036834295524610673,2714.8612068116095,2780017.875775088,2846738304.79369
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.18088512799840828,float32,64,float32,0.00441183239020508,226.66318924992433,928412.42316769,3802777285.2948585
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.21271166000042285,float32,64,float32,0.07090388666680762,14.103599210283237,231073.36946128056,3785906085.2536206
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5662433079996845,float32,128,float32,6.912149755855523e-05,14467.279143552483,14467.279143552483,14467.279143552483
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5678666149997298,float32,128,float32,6.93196551513342e-05,14425.922890367307,57703.691561469226,230814.7662458769
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5658000860003085,float32,128,float32,6.906739331058454e-05,14478.612150644907,231657.79441031851,3706524.7105650962
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5664956929995242,float32,128,float32,6.915230627435598e-05,14460.833685467898,925493.3558699455,59231574.77567651
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.44397487900096166,float32,128,float32,9.634871506097258e-05,10378.965608074457,2657015.195667061,680195890.0907676
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.24023861800014856,float32,128,float32,0.00037073860802492063,2697.3182138418697,2762053.8509740746,2828343143.3974524
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.17972689800080843,float32,128,float32,0.004383582878068499,228.1238949543077,934395.4737328443,3827283860.4097304
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.20872657499967318,float32,128,float32,0.06957552499989106,14.372870344874377,235485.1077304218,3858188005.0552306
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5716037990005134,float32,192,float32,6.977585437017986e-05,14331.605238321103,14331.605238321103,14331.605238321103
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5713426099991921,float32,192,float32,6.9743970947167e-05,14338.156924811865,57352.62769924746,229410.51079698984
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5676060010009678,float32,192,float32,6.928784191906345e-05,14432.546494493514,230920.74391189622,3694731.9025903395
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5876103480004531,float32,192,float32,7.172977880864906e-05,13941.211259937994,892237.5206360316,57103201.320706025
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.44964188700032537,float32,192,float32,9.757853450527894e-05,10248.155550500716,2623527.8209281834,671623122.157615
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.25456588700035354,float32,192,float32,0.0003928485910499283,2545.509956717414,2606602.195678632,2669160648.374919
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.21010275699882186,float32,192,float32,0.005124457487776143,195.1426082439742,799304.1233673183,3273949689.312536
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.21508480199918267,float32,192,float32,0.07169493399972755,13.947986896867777,228523.81731828165,3744134222.9427266
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5658501149991935,float32,256,float32,6.907350036611248e-05,14477.33204050277,14477.33204050277,14477.33204050277
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5726840259994788,float32,256,float32,6.99077180175145e-05,14304.572204022776,57218.2888160911,228873.1552643644
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5669311429992376,float32,256,float32,6.920546179189913e-05,14449.726569371081,231195.6251099373,3699130.001758997
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5692296150009497,float32,256,float32,6.948603698742062e-05,14391.380532768542,921048.3540971867,58947094.66221995
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.4620076680002967,float32,256,float32,0.00010026208072923105,9973.860433842498,2553308.2710636794,653646917.3923019
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.24421297799926833,float32,256,float32,0.0003768718796285005,2653.421637575467,2717103.756877278,2782314247.0423326
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.18383492500106513,float32,256,float32,0.004483778658562564,223.02617416011918,913515.2093598482,3741758297.537938
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.2132615340015036,float32,256,float32,0.0710871780005012,14.067234459538533,230477.56938507932,3776144496.8051395
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5698782799991022,float32,384,float32,6.956521972645291e-05,14374.999517463459,14374.999517463459,14374.999517463459
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.567614916999446,float32,384,float32,6.928893029778393e-05,14432.31979051036,57729.27916204144,230917.11664816577
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5640419179999299,float32,384,float32,6.885277319335081e-05,14523.743251296828,232379.89202074925,3718078.272331988
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5666378060013813,float32,384,float32,6.916965405290298e-05,14457.206902251826,925261.2417441169,59216719.47162348
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.4620034250001481,float32,384,float32,0.00010026115993926826,9973.95203292816,2553331.720429609,653652920.4299799
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.2597863499995583,float32,384,float32,0.0004009048611104295,2494.3573825226067,2554221.9597031493,2615523286.736025
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.2130910819996643,float32,384,float32,0.005197343463406447,192.40598722035955,788094.9236545927,3228036807.2892118
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.2188904159993399,float32,384,float32,0.07296347199977997,13.70548813799617,224550.71765292925,3679038958.025593
8192,float32,True,nx,float32,1,float32,False,OpenCLSolver,0.5661524869992718,float32,512,float32,6.91104110106533e-05,14469.599954279698,14469.599954279698,14469.599954279698
8192,float32,True,nx,float32,4,float32,False,OpenCLSolver,0.5716805060001207,float32,512,float32,6.978521801759285e-05,14329.682250872957,57318.729003491826,229274.9160139673
8192,float32,True,nx,float32,16,float32,False,OpenCLSolver,0.5703120210000634,float32,512,float32,6.96181666259843e-05,14364.066858760969,229825.0697401755,3677201.115842808
8192,float32,True,nx,float32,64,float32,False,OpenCLSolver,0.5714578580009402,float32,512,float32,6.975803930675539e-05,14335.265296127089,917456.9789521337,58717246.652936555
4608,float32,True,nx,float32,256,float32,False,OpenCLSolver,0.4632136759992136,float32,512,float32,0.00010052380121510712,9947.892816549362,2546660.5610366366,651945103.625379
648,float32,True,nx,float32,1024,float32,False,OpenCLSolver,0.25072261700006493,float32,512,float32,0.00038691761882726067,2584.529500183991,2646558.2081884067,2710075605.1849284
41,float32,True,nx,float32,4096,float32,False,OpenCLSolver,0.1930972889986151,float32,512,float32,0.004709689975575978,212.32820104633396,869696.3114857839,3562276091.845771
3,float32,True,nx,float32,16384,float32,False,OpenCLSolver,0.21986173400000553,float32,512,float32,0.07328724466666851,13.644939232581166,223558.68438660982,3662785484.9902153
